Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,3,2,1807.727051,200.697739,317.142212,61.754627,183.317917,5.054822,683.096741,276.974884,1237.02124,72.477005,5484.100098,1.50281
2010,3,3,1807.727051,197.785904,318.277924,62.707962,178.9655,4.969147,680.353333,284.076691,1241.074829,74.049873,5533.200195,1.5103
2010,3,4,1819.301514,203.467377,318.277924,62.538509,175.977844,4.97343,683.096741,291.462769,1252.693604,74.175697,5527.200195,1.503601
2010,3,5,1824.784058,196.791656,313.167236,62.559658,171.256607,4.97343,679.530457,295.439819,1257.557373,79.71212,5599.799805,1.513294
2010,3,8,1798.894043,201.194794,314.302948,62.771515,177.785202,4.862053,678.159241,294.303497,1254.855225,75.49688,5606.700195,1.504189
2010,3,9,1797.675903,200.200531,315.43869,62.87746,178.522873,4.969147,688.858215,295.155762,1246.478638,75.371056,5602.299805,1.501637
2010,3,10,1797.066772,201.194794,316.858276,63.152855,179.260574,4.802081,688.58374,303.678009,1246.534668,74.993568,5640.600098,1.497006
2010,3,11,1786.710327,200.555634,317.993988,63.470638,178.854858,4.952012,685.840332,309.927765,1246.255981,77.006821,5617.299805,1.507205
2010,3,12,1780.009399,199.916473,316.858276,64.233284,176.973724,4.883471,681.999451,313.904785,1245.697876,77.573051,5625.700195,1.521607
2010,3,15,1777.268311,200.484589,316.574371,63.809612,175.203278,4.900607,684.74292,305.382446,1235.937866,78.45385,5593.899902,1.505435
2010,3,16,1773.308838,199.987442,314.870911,63.258801,172.473785,5.09766,679.805176,301.121307,1244.861206,79.523392,5620.399902,1.523693
2010,3,17,1763.866699,200.626663,315.722565,62.707962,173.244568,5.089093,671.849243,302.825775,1245.976685,78.45385,5644.600098,1.531792
2010,3,18,1773.004028,201.833954,317.710022,62.28426,173.618698,5.264725,697.911011,303.678009,1262.430054,77.824692,5642.600098,1.525367
2010,3,19,1792.192993,201.975983,317.710022,62.792713,172.832993,5.011984,705.866943,302.825775,1245.697876,78.076347,5650.100098,1.501795
2010,3,22,1809.250122,200.41362,314.018982,62.665615,172.12204,5.131929,709.98175,299.132874,1264.660889,77.132652,5644.5,1.510802
2010,3,23,1808.640869,202.402115,309.760193,62.919838,171.485916,5.183334,704.769531,296.57608,1258.246948,78.076347,5673.600098,1.502133
2010,3,24,1818.996948,203.609406,307.772736,63.089287,176.948975,5.166201,709.433105,300.269104,1255.737183,77.950539,5677.899902,1.489891
2010,3,25,1834.22644,207.231339,316.290466,62.368996,182.000366,5.226171,710.530396,303.109833,1270.517212,79.020073,5727.700195,1.484494
2010,3,26,1823.869751,208.225586,313.735168,62.157158,180.728134,5.397521,699.557129,302.825775,1269.959106,78.328011,5703,1.489802
2010,3,29,1815.341553,209.574936,319.12973,64.042625,181.102341,5.418941,697.636841,303.678009,1273.863403,78.516762,5710.700195,1.498195
2010,3,30,1791.888306,210.001053,321.968903,64.487526,181.476456,5.410373,693.247314,306.234711,1273.026855,78.013451,5672.299805,1.507409
2010,3,31,1790.365601,207.515472,317.426117,64.402794,180.129425,5.586007,694.344727,311.064026,1266.891602,77.950539,5679.600098,1.518372
2010,4,1,1794.630005,210.001053,321.968903,64.275681,180.428787,5.611711,689.68103,322.995239,1270.795898,78.516762,5744.899902,1.529192
2010,4,6,1778.486572,211.492447,323.104645,63.407089,180.428787,5.654546,691.601501,327.824585,1268.007202,78.202179,5780.399902,1.527091
2010,4,7,1798.285278,212.344604,321.685028,62.665615,179.231415,5.611711,699.28302,331.842194,1267.728271,78.013451,5762.100098,1.524204
2010,4,8,1787.320068,210.498199,319.12973,62.898624,180.503616,5.568873,698.734192,328.918365,1245.419189,76.943909,5712.700195,1.528304
2010,4,9,1781.228149,213.480988,324.240295,63.17403,182.411987,5.808763,696.265015,335.350677,1243.18811,77.573051,5771,1.536996
2010,4,12,1787.320068,215.185379,323.95639,63.13168,182.599045,6.100057,696.539307,335.058289,1259.083374,77.447212,5777.700195,1.537397
