Year,Month,Day,PFE,JNJ,COST,FDX,IBM,XOM,DIS,AAPL,MS,ACN,^DJI
2010,3,8,10.549716,45.159874,45.23101,78.116203,80.84594,41.789032,28.909473,6.699735,23.847689,32.850956,10552.519531
2010,3,9,10.476749,45.20911,44.828438,78.377945,80.295959,41.977589,29.013998,6.820224,23.420395,33.32637,10564.379883
2010,3,10,10.428104,45.223183,44.612225,78.747925,80.340714,42.254189,29.031422,6.875882,24.162111,33.32637,10567.330078
2010,3,11,10.513232,45.17395,44.656967,78.05304,81.607018,42.254189,29.449514,6.896064,24.202417,33.278835,10611.839844
2010,3,12,10.38554,45.145817,44.85825,77.773247,81.824501,41.990177,29.344988,6.929706,24.113739,33.373913,10624.69043
2010,3,15,10.494991,45.420143,45.141552,79.262344,81.754135,41.675877,29.371124,6.845302,23.896065,33.675007,10642.150391
2010,3,16,10.494991,45.392002,45.409935,79.984268,82.291351,41.845585,29.397253,6.863955,24.436226,33.278835,10685.980469
2010,3,17,10.464586,45.476429,45.723057,81.040146,81.709351,42.342178,29.397253,6.853862,24.412041,33.469002,10733.669922
2010,3,18,10.476749,45.76482,45.678333,83.63018,82.105888,42.361027,29.423382,6.870071,24.250792,33.500687,10779.169922
2010,3,19,10.282171,45.800011,45.268295,82.168221,81.677383,42.141033,29.301434,6.796677,23.888,33.32637,10741.980469
2010,3,22,10.428104,45.792969,45.387573,80.931862,81.85006,42.097027,29.571457,6.873129,23.863813,33.619541,10785.889648
2010,3,23,10.665244,45.975849,45.298111,82.691628,82.739059,42.084435,29.623718,6.983526,23.807381,33.595764,10888.830078
2010,3,24,10.707812,45.546761,44.783703,81.43721,82.20182,41.80159,29.954706,7.014414,23.678389,33.112442,10836.150391
2010,3,25,10.574038,45.420143,44.768799,82.068939,82.655891,41.675877,30.564432,6.931233,23.307529,32.898506,10841.209961
2010,3,26,10.422024,45.286491,44.828438,82.438972,82.668701,41.826733,30.756063,7.061205,23.259157,33.595764,10850.360352
2010,3,29,10.507152,45.596004,44.835892,83.233131,82.240181,42.304462,30.625402,7.10677,23.726763,33.516537,10895.860352
2010,3,30,10.494991,45.652275,44.85825,83.765549,82.355324,42.147308,30.573135,7.212582,23.549395,33.445221,10907.419922
2010,3,31,10.428104,45.863304,44.515312,84.288963,82.022713,42.103313,30.407648,7.186587,23.61389,33.23922,10856.629883
2010,4,1,10.38554,46.264256,44.835892,83.178947,82.022713,42.499329,30.965099,7.216251,23.541328,33.152058,10927.070313
2010,4,6,10.312574,45.94067,46.028721,83.359436,82.457634,42.68161,30.895424,7.325424,23.670321,32.898506,10969.990234
2010,4,7,10.379461,45.877369,46.013821,81.825272,82.169846,42.32962,30.764761,7.357841,24.202417,32.930202,10897.519531
2010,4,8,10.422024,45.673382,45.462139,81.870392,81.613396,42.656479,31.069626,7.337964,24.895767,33.199593,10927.070313
2010,4,9,10.48891,45.821095,45.633598,82.357689,82.348892,43.222218,31.548689,7.394233,24.976385,33.936493,10997.349609
2010,4,12,10.513232,45.800011,44.992458,81.960655,82.093109,43.190777,31.261251,7.409525,24.936077,34.126644,11005.969727
2010,4,13,10.446346,46.200947,44.649498,81.870392,82.521591,43.159359,31.217705,7.413804,24.573277,34.150417,11019.419922
2010,4,14,10.379461,46.067303,44.448212,84.839439,83.941406,43.127918,31.531269,7.5135,25.105377,34.402199,11123.110352
2010,4,15,10.330818,46.08136,44.008358,86.292397,83.711174,42.907921,31.705482,7.612278,24.895767,34.562069,11144.570313
2010,4,16,10.215284,45.736691,44.127647,84.713127,83.544868,42.700466,31.209,7.565795,23.509081,34.490131,11018.660156
2010,4,19,10.209204,46.447163,44.336388,83.521927,84.568146,42.889053,31.505146,7.555701,23.831572,34.234344,11092.049805
2010,4,20,10.190966,46.41901,44.351307,83.061607,82.943726,43.354214,31.827423,7.479862,24.549093,34.905758,11117.05957
2010,4,21,10.093678,45.996952,44.366199,82.57431,82.496002,43.322788,31.844847,7.927263,25.540731,35.153538,11124.919922
2010,4,22,10.020711,45.56786,44.895531,82.763817,82.585541,43.096489,32.036472,8.148977,25.718094,35.105579,11134.290039
2010,4,23,10.282171,45.750755,44.880623,83.756531,83.13559,43.523945,32.045185,8.282313,25.750349,35.70507,11204.280273
