Year,Month,Day,DTE.DE,RWE.DE,SIE.DE,LHA.DE,DBK.DE,ADS.DE,ALV.DE,FME.DE,SAP.DE,BMW.DE,DWNI.DE,^GDAXI,EURUSD=X
2010,2,26,4.72632,36.145149,40.879482,9.512549,30.212368,30.002607,48.41671,31.311878,27.136265,19.277143,4.906938,5598.459961,1.363104
2010,3,1,4.787837,36.522385,42.034672,9.63406,30.83754,31.412457,49.216034,32.491684,27.703676,19.704306,4.8152,5713.509766,1.356208
2010,3,2,4.771332,36.632656,42.774521,9.981233,31.180901,31.367109,49.758446,32.814201,28.055719,20.283556,5.103926,5776.560059,1.362064
2010,3,3,4.781335,36.737122,43.611702,10.059345,31.744532,30.068569,50.158112,32.626408,27.848635,20.484192,5.084014,5817.879883,1.370163
2010,3,4,4.786837,36.516582,43.124966,9.981233,32.198025,30.237576,49.65567,32.634575,28.030869,20.42594,4.999387,5795.319824,1.3584
2010,3,5,4.841352,36.563007,43.780441,10.15916,33.007832,30.431334,50.249466,32.414124,28.229666,20.946945,4.949606,5877.359863,1.362899
2010,3,8,4.874861,36.917034,43.52734,10.185198,33.072609,30.311785,50.346516,32.33247,28.134407,20.704243,4.899826,5875.910156,1.361693
2010,3,9,4.890366,37.421951,43.514359,10.298027,33.215141,30.311785,50.180946,32.557007,28.159256,20.794851,4.842933,5885.890137,1.360692
2010,3,10,4.90687,37.433563,43.988117,10.367463,33.720463,30.620956,50.5121,32.410042,28.175823,20.882227,4.835823,5936.720215,1.364331
2010,3,11,4.953883,37.439358,43.624687,10.224255,33.830601,31.103277,50.295132,32.430458,27.914902,21.157291,4.921872,5928.629883,1.368532
2010,3,12,4.94388,37.137569,44.377506,10.289349,34.258179,31.602089,50.295132,32.422291,27.749231,21.060211,4.942495,5945.109863,1.376993
2010,3,15,4.905369,37.166592,43.936195,10.189536,34.044384,31.115646,50.129566,32.801952,27.699535,21.124926,5.08188,5903.560059,1.367746
2010,3,16,4.920374,37.300076,45.214695,10.419539,34.91898,31.115646,50.746193,32.748878,27.861057,21.199358,5.098948,5970.990234,1.376879
2010,3,17,4.931377,37.445164,46.661926,10.501993,35.534431,30.851809,51.334274,32.695805,28.577568,21.014906,5.150152,6024.279785,1.373834
2010,3,18,4.933378,37.387131,46.564583,10.536711,35.061512,31.874165,51.202946,32.781536,28.660398,20.778671,5.208467,6012.310059,1.361396
2010,3,19,4.946382,37.149185,46.259556,10.66256,34.990238,32.236931,50.774734,32.720303,28.494738,20.749548,5.185708,5982.430176,1.353693
2010,3,22,4.926376,37.120163,46.233597,10.684259,34.91898,32.100899,50.357944,33.777641,28.908903,21.034321,5.16224,5987.5,1.356705
2010,3,23,4.936878,37.253643,46.603527,10.736335,35.372471,32.381214,50.603451,33.18161,29.173973,21.455008,5.333628,6017.27002,1.346801
2010,3,24,4.912872,37.247841,46.694378,10.601805,35.929619,32.397701,50.808987,33.606182,29.273373,21.60063,5.302338,6039,1.333102
2010,3,25,4.939879,37.607662,47.862549,10.909921,37.134621,32.999569,51.956608,33.84296,29.617126,22.031027,5.354963,6132.950195,1.330707
2010,3,26,4.936878,37.433563,47.570511,10.784071,37.490925,33.0243,52.670292,33.712322,29.231951,22.134577,5.326516,6120.049805,1.341004
2010,3,29,4.97639,37.723743,48.297363,10.896903,37.477982,33.415928,53.064251,33.84296,29.555008,22.079561,5.397632,6156.850098,1.348109
2010,3,30,4.994395,38.205448,47.434216,10.818789,37.601067,33.197449,53.149895,33.626595,29.497017,21.865986,5.62591,6142.450195,1.342408
2010,3,31,5.018901,38.071964,48.122135,10.65822,36.946747,32.649166,53.00145,34.108318,29.704105,22.121632,5.339316,6153.549805,1.350804
2010,4,1,5.0114,38.466606,49.154022,10.979356,37.639935,33.094383,53.669464,33.969509,30.122414,22.752659,5.39052,6235.560059,1.3584
2010,4,6,5.041408,38.501427,49.491493,11.170301,37.665859,33.308746,54.38887,33.663334,29.853203,22.917698,5.162952,6252.209961,1.340195
2010,4,7,5.033906,38.536255,48.712715,11.113885,37.089272,33.354092,54.485924,33.691906,29.807648,22.522905,5.262513,6222.410156,1.334846
2010,4,8,4.987393,38.373745,48.089691,11.096526,36.460861,33.123238,53.498169,33.798054,29.766232,22.348156,5.262513,6171.830078,1.336112
2010,4,9,5.021403,39.371983,48.569939,11.33087,37.626984,33.902359,53.42395,33.810295,29.82007,22.561737,5.262513,6249.700195,1.350093
2010,4,12,5.036407,39.47644,48.531006,11.239736,37.775986,33.951843,53.85788,33.51228,29.853203,22.730009,5.24829,6250.689941,1.359601
